TP1: Wiretapping
sniff timeout = 1200 segs

----------Paquetes ARP capturados----------
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.135.238, at mac e0:c9:7a:e9:0e:3e
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.135.238, at mac e0:c9:7a:e9:0e:3e
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.135.238, at mac e0:c9:7a:e9:0e:3e
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.143.7, at mac 2c:54:cf:f4:56:09
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.143.61, at mac a8:06:00:2c:e1:c1
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.238, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.238, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.145.213, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.145.213, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.145.213, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.145.213, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.145.247, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.19, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.146.19 is at mac 94:39:e5:57:d4:b4, telling ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.146.78, at mac e0:db:10:f6:b2:35
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.146.78, at mac e0:db:10:f6:b2:35
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.146.78, at mac e0:db:10:f6:b2:35
Who has? ip 172.16.145.213, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.134.131, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
