TP1: Wiretapping
sniff timeout = 14400 segs

----------Paquetes ARP capturados----------
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
Who has? ip 192.168.1.3, tell ip 192.168.1.1, at mac bc:96:80:54:bc:e8
